Auto,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,?,Echtzeit Büro,Echtzeit Büro.1,Echtzeit Büro.2,Auto. ,Auto. .1,Echtzeit Büro.3,Auto.1,Unnamed: 23
KW,Geplantes Ankunftsdatum,Ist Datum,"Timeslot getroffen 
(Ja / Nein)",SCI,Lenkzeit,Destination City,Trailer,LS Nummern,Status Auftrag fertig fürs Lager,Nachträgliche Änderugen (Ja/Nein),Status Verladung,ATTP Portal Status ,SCI OTM,Anzahl verladene Positionen laut Lieferschein (ingesamt),Geplante Ladezeit,Ankunft Office,Verladung gestartet ,Verladung beendet ,Wartezeit bis Verladebeginn ,Verladungszeit,Loaded at Bayreuth (Documents finished),"On time innerhalb 2,5 Std. (Automatisch berechnet) ",Bemerkungen
nn,dd.mm.yy,dd.mm.yy,Auswahlliste,1000xxxxx,in Minuten,Schreibe,Schreibe,Schreibe,Auswahlliste,Auswahlliste,Auswahlliste,soll 80,ok,nn,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Nein,,480,SUPER-DEPOT 4,BTST9352,Schkeuditz / Leipzig 2,,,Verladen + PGI,,,37,19:00:00,17:25:00,17:40:00,18:20:00,00:15:00,00:40:00,18:25:00,01:00:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Nein,,480,SUPER-DEPOT 5,BTST9343,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,15,20:00:00,18:25:00,18:30:00,18:40:00,00:05:00,00:10:00,18:45:00,00:20:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Nein,1000450035,420,Duisburg 1,7E32404,3202688450 / 3202688451 / 3202688452,Erledigt,,Verladen + PGI,80,ok,39,10:00:00,08:20:00,10:30:00,11:00:00,02:10:00,00:30:00,11:10:00,02:50:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,nein,1000450037,300,Großbeeren 1,5E82538,3202672913 / 3202672914 / 3202672915,Erledigt,,Verladen + PGI,80,ok,37,11:00:00,10:15:00,13:00:00,13:30:00,02:45:00,00:30:00,13:35:00,03:20:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Ja,1000450042,240,Hamburg 1,5E77197,3202688456 / 3202688457 / 3202688458,Erledigt,,Verladen + PGI,80,ok,42,11:00:00,11:05:00,14:10:00,14:35:00,03:05:00,00:25:00,14:40:00,03:35:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Ja,1000450052,480,Langenbach 1,5E82585,3202672916 / 3202672917,Erledigt,,Verladen + PGI,80,ok,40,12:00:00,11:45:00,14:20:00,14:40:00,02:35:00,00:20:00,14:55:00,03:10:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Nein,1000450044,540,Hannover 1,5E82536,3202672918 / 3202672919,Erledigt,,Verladen + PGI,80,ok,41,12:00:00,10:40:00,13:30:00,13:55:00,02:50:00,00:25:00,13:00:00,02:20:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Nein,1000450058,180,Mainz 1,5E92567,3202688453 / 3202688454 / 3202688455,Erledigt,,Verladen + PGI,80,ok,41,13:00:00,14:05:00,14:25:00,15:10:00,00:20:00,00:45:00,15:25:00,00:25:00,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,Nein,,480,SUPER-DEPOT 1,BTST9351,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,20,16:00:00,18:20:00,18:30:00,18:50:00,00:10:00,00:20:00,18:55:00,00:10:00,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,Ja,,480,SUPER-DEPOT 2,BTST9353,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,25,17:00:00,16:55:00,17:15:00,17:35:00,00:20:00,00:20:00,17:40:00,00:00:00,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,Nein,,480,SUPER-DEPOT 3,BTST9360,Gärtringen / Stuttgart 3,,,Verladen + PGI,,,15,17:00:00,16:15:00,16:40:00,17:00:00,00:25:00,00:20:00,17:05:00,00:50:00,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,Nein,,480,SUPER-DEPOT 4,BTST9359,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,29,18:00:00,18:45:00,18:50:00,19:10:00,00:05:00,00:20:00,19:15:00,00:30:00,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,Nein,,480,SUPER-DEPOT 5,BTST9352,Schkeuditz / Leipzig 2,,,Verladen + PGI,,,25,19:00:00,15:30:00,17:40:00,18:10:00,02:10:00,00:30:00,18:15:00,02:45:00,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,Nein,,480,SUPER-DEPOT 6,BTST9343,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,11,20:00:00,19:05:00,19:10:00,19:20:00,00:05:00,00:10:00,19:25:00,00:20:00,
