Auto.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Echtzeit vom Büro,Echtzeit vom Büro.1,Echtzeit vom Büro.2,Auto..1,Auto. ,Echtzeit vom Büro.3,Unnamed: 17,Unnamed: 18
KW,Geplantes Ankunftsdatum lt Liste DHL,Ist Datum,SCI,Lenkzeit,Soure Location,LS Nummern,Status,Anzahl Paletten,Arrival Monitor ,SCI OTM,Ankunft Office,Entladung gestartet ,Entladung beendet ,Wartezeit bis Entladebeginn   ,Entladungszeit  ,Unloaded at Bayreuth (Documents finished),Bemerkungen( bei Shuttle SKU),
nn,dd.mm.yy,dd.mm.yy,10000xxxxx,in Minuten,Schreibe,Schreibe,Auswahlliste,nn,80,ok,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Shuttle LC 5,9185185932,Eingelagert,33,ok,,12:00:00,12:05:00,12:20:00,00:05:00,00:15:00,,SKU 10186065 / 10186211,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,1000449838,300,Pecs 5,4300935946 / 9185114054,Eingelagert,33,ok,ok,15:35:00,15:40:00,15:55:00,00:05:00,00:15:00,16:00:00,,00:20:00
2,11.01.24,11.01.24,,,Shuttle LC 1,9185185226,Eingelagert,33,ok,,06:05:00,06:10:00,06:25:00,00:05:00,00:15:00,,SKU 10186065 / 10186211,
2,11.01.24,11.01.24,,480,Gizeh 3,186842578,Eingelagert,34,,,06:50:00,07:10:00,07:35:00,00:20:00,00:25:00,07:40:00,,
2,11.01.24,11.01.24,,,Shuttle LC 2,9185139280,Eingelagert,33,ok,,07:00:00,07:10:00,07:30:00,00:10:00,00:20:00,,SKU 10186065 / 10186211,
2,11.01.24,11.01.24,,,Shuttle LC 3,9185184634,Eingelagert,33,ok,,08:35:00,08:40:00,09:05:00,00:05:00,00:25:00,,SKU 10179240 / 10186065,
2,11.01.24,11.01.24,,420,Gizeh 4,186906603,Eingelagert,34,,,08:35:00,08:40:00,08:45:00,00:05:00,00:05:00,09:20:00,,
2,11.01.24,11.01.24,,,Shuttle LC 4,9185196097,Eingelagert,33,ok,,10:00:00,10:10:00,10:25:00,00:10:00,00:15:00,,SKU 10186065 / 10186211,
2,11.01.24,11.01.24,,,Shuttle LC 5,9185212097,Eingelagert,33,ok,,11:45:00,11:50:00,12:05:00,00:05:00,00:15:00,,SKU 10186065 / 10186211,
2,11.01.24,11.01.24,1000450086,420,Poznan 2,4200214628 / 9185139704,Eingelagert,48,ok,ok,11:50:00,12:00:00,12:45:00,00:10:00,00:45:00,12:55:00,,
2,11.01.24,11.01.24,1000449792,360,Pecs 6,4300936136 / 9185179286,Eingelagert,33,ok,ok,11:55:00,12:10:00,12:35:00,00:15:00,00:25:00,13:30:00,,
2,11.01.24,11.01.24,,,LBK-Retoure,,Eingelagert,,,,14:10:00,14:15:00,14:25:00,00:05:00,00:10:00,,,
2,12.01.24,12.01.24,,,Shuttle LC 1,9185205832,Eingelagert,33,ok,,06:15:00,06:20:00,06:30:00,00:05:00,00:10:00,,SKU 10186065 / 10186211,
2,12.01.24,12.01.24,,,Shuttle LC 2,9185214199,Eingelagert,33,ok,,07:15:00,07:25:00,07:40:00,00:10:00,00:15:00,,SKU 10186065 ,
2,12.01.24,12.01.24,1000449819,540,Pecs 7,4300936133 / 9185171003,Eingelagert,33,ok,ok,07:50:00,08:00:00,08:30:00,00:10:00,00:30:00,08:35:00,,
2,12.01.24,12.01.24,,,Shuttle LC 3,9185226328,Eingelagert,33,ok,,08:25:00,08:30:00,08:45:00,00:05:00,00:15:00,,SKU 10186065,
2,12.01.24,12.01.24,,420,Gizeh 5,186850319,Eingelagert,34,,,08:47:00,09:30:00,10:00:00,00:43:00,00:30:00,10:10:00,"war nicht angekündigt, Mail an Germany Deployment geschrieben! IT",
2,12.01.24,12.01.24,,,Shuttle LC 4,9185224980,Eingelagert,33,ok,,09:35:00,09:40:00,10:00:00,00:05:00,00:20:00,,SKU 10186059 / 10186194 / 10186211,
2,12.01.24,12.01.24,,,Krage Potsdam,3202682361,Eingelagert,1,ok,,,,,00:00:00,00:00:00,,SKU 10191161,
2,12.01.24,12.01.24,,,Shuttle LC 5 ,9185237249,Eingelagert,33,ok,,11:50:00,12:00:00,12:15:00,00:10:00,00:15:00,,SKU 10186059,
2,12.01.24,12.01.24,1000449820,180,Pecs 8,4300936368 / 9185195719,Eingelagert,33,ok,ok,12:00:00,12:25:00,12:50:00,00:25:00,00:25:00,13:05:00,,
2,12.01.24,12.01.24,1000450087,360,Poznan 3,4300936431 / 9185105618 4200214825 / 9185192334,Eingelagert,1 / 45,,ok,12:05:00,13:00:00,13:35:00,00:55:00,00:35:00,13:45:00,,
