ID,CreatedTimestamp,CreatedBy,UpdatedTimestamp,UpdatedBy,SapOrderNumber,SSCC,Printer,Copies,Status,ErrorText,DangerousGoodsUNNumber,DangerousGoodsWeight,LabelTemplate
6699,2022-10-18T17:06:09.6458425+00:00,Maximilian Kolb,,,3202191030,140313001112809998,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6700,2022-10-18T17:06:27.5069312+00:00,Maximilian Kolb,,,3202191030,140313001112810000,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6701,2022-10-18T17:06:50.7309291+00:00,Maximilian Kolb,,,3202191030,340313001610007869,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6702,2022-10-18T17:08:34.8646867+00:00,Maximilian Kolb,,,3202191030,140313001112824373,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6703,2022-10-18T17:08:55.8630885+00:00,Maximilian Kolb,,,3202191030,340313001200180316,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6704,2022-10-18T17:09:23.2850895+00:00,Maximilian Kolb,,,3202191030,659031410523250118,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6705,2022-10-18T17:09:58.0557514+00:00,Maximilian Kolb,,,3202191030,659031410523269387,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6706,2022-10-18T17:10:25.2699075+00:00,Maximilian Kolb,,,3202191030,159989004312407307,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6707,2022-10-18T17:11:04.4735574+00:00,Maximilian Kolb,,,3202191030,659031410523087592,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6708,2022-10-18T17:11:29.0689125+00:00,Maximilian Kolb,,,3202191030,659031410523114687,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6709,2022-10-18T17:11:56.6261943+00:00,Maximilian Kolb,,,3202191030,659031410523297526,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
