SapOrderNumber,ItemNumber,KVP,Outers,CorrespondingCartons,CorrespondingOuters,CorrespondingPackages,PackagesPerOuter,InternationalArticleNumberForOuter,MaterialNumber,ParentItemNumber,InternationalArticleNumberForMastercase,OuterPerMastercase,CorrespondingMastercases,CorrespondingPallets,MastercasePerPallet,VolumeInMTQ,MaterialGroup,MaterialType,TPDIndicator,OUT,VolInThKg,PlannedDate,IsReturnDelivery,IsDeleted
3202235764,000030,79.8,6,1,0,0,4,4031300285831,10171192,,4031300286418,6,1,0,35,0.0361,,,,,,03.11.2023,False,False
3202235764,000040,33.0,180,6,0,0,6,4031300285329,10179241,,4031300285909,30,6,0,23,0.28033919999999996,,,,,,03.11.2023,False,False
3202235764,000050,58.0,50,1,0,0,10,4031300294857,10178123,,4031300294864,50,1,0,21,0.0439,,,,,,03.11.2023,False,False
3202235764,000060,58.0,50,1,0,0,10,4031300298756,10178388,,4031300298879,50,1,0,21,0.0451369,,,,,,03.11.2023,False,False
3202235764,000070,59.95,320,80,0,0,1,4031300299845,10186065,,4031300299876,4,0,2,40,3.514,,,,,,03.11.2023,False,False
3202235764,000080,64.75,6,1,0,0,5,4031300300237,10186248,,4031300300244,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235764,000090,64.75,42,7,0,0,5,4031300300268,10186263,,4031300300275,6,7,0,35,0.23170000000000002,,,,,,03.11.2023,False,False
3202235764,000100,64.75,12,2,0,0,5,4031300300206,10186247,,4031300300213,6,2,0,35,0.06620000000000001,,,,,,03.11.2023,False,False
3202235764,000110,39.8,42,7,0,0,4,4031300300350,10188952,,4031300300411,6,7,0,35,0.25270000000000004,,,,,,03.11.2023,False,False
3202235764,000120,79.8,42,7,0,0,4,4031300282786,10186200,,4031300283066,6,7,0,35,0.23170000000000002,,,,,,03.11.2023,False,False
3202235764,000130,39.95,70,7,0,0,1,4031300283196,10186211,,4031300283295,10,7,0,35,0.23170000000000002,,,,,,03.11.2023,False,False
3202235764,000140,29.95,756,126,0,0,1,4031300283400,10186059,,4031300283516,6,0,3,42,5.772,,,,,,03.11.2023,False,False
3202235764,000150,49.95,20,5,0,0,1,4031300301906,10188936,,4031300301913,4,5,0,40,0.15,,,,,,03.11.2023,False,False
3202235764,000160,24.95,216,12,0,0,1,4031300283165,10186194,,4031300283264,18,12,0,30,0.39720000000000005,,,,,,03.11.2023,False,False
3202235764,000170,24.95,108,6,0,0,1,4031300283127,10186201,,4031300283226,18,6,0,30,0.19860000000000003,,,,,,03.11.2023,False,False
3202235764,000180,79.8,6,1,0,0,4,4031300300343,10186243,,4031300300404,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235764,000190,37.2,30,1,0,0,6,4031300284278,10185680,,4031300284445,30,1,0,23,0.0467232,,,,,,03.11.2023,False,False
3202235764,000200,37.2,30,1,0,0,6,4031300284315,10185721,,4031300284483,30,1,0,23,0.0467232,,,,,,03.11.2023,False,False
3202235764,000210,49.2,90,3,0,0,6,4031300283660,10185711,,4031300283998,30,3,0,23,0.14016959999999998,,,,,,03.11.2023,False,False
