Deliv. date(From/to),Name of the ship-to party,Sold-To Party,Delivery,Name,K&N Transportklasse,Zentrale Lieferstelle,Actual delivery qty,Gesamtgewicht Order,Kosten Picking Bayreuth,K&N_Kosten,TransportkostenLastMile_Fix_Kg_Preis,Paletten,Cases,Outers,Packs,Free of charge,Transportkosten
2024-01-09,Bartels-Langness,50034623,3202477089,Bartels-Langness Handels-GmbH & Co. KG,80.0,Nein,1.08,17.64,7.62,6.5698,3.023496,0,6,0,0,False,36.65
2024-01-09,Edeka Foodservice Stiftung & Co. KG,50034380,3202686320,EDEKA Foodservice,,Nein,0.12,4.212,9.24,5.360799999999999,0.7219367999999999,0,0,12,0,False,
2024-01-09,Edeka Foodservice Stiftung & Co. KG,50106831,3202686344,EDEKA Foodservice Stiftung & Co. KG,20.0,Nein,0.08,2.808,6.16,4.4592,0.4812912,0,0,8,0,False,27.0
2024-01-09,Edeka Foodservice Stiftung & Co. KG,53715228,3202686346,EDEKA Foodservice Stiftung & Co. KG,50.0,Nein,0.02,0.852,1.54,3.1068000000000002,0.1460328,0,0,2,0,False,27.0
2024-01-09,Ermuri Genuss Company e.G.,50034452,3202686335,Ermuri Genuss Company e.G.,30.0,Nein,1.3199999999999998,26.6,8.89,7.222099999999999,4.559240000000001,0,7,0,0,False,27.0
2024-01-09,Hall Tabakwaren e.K.,50034610,3202686338,Hall Tabakwaren e.K.,80.0,HALL_Hilden,0.33499999999999996,11.436000000000002,9.74,5.7877,1.9601304000000002,0,1,11,0,False,36.65
2024-01-09,Hall Tabakwaren e.K.,50034676,3202686326,Hall Tabakwaren e.K.,125.0,HALL_Hilden,0.215,6.6930000000000005,16.94,7.6148,1.1471802,0,0,22,0,False,42.44
2024-01-09,Hall Tabakwaren e.K.,50034848,3202686340,Hall Tabakwaren e.K.,150.0,HALL_Hilden,0.505,19.090000000000003,6.390000000000001,5.0876,3.2720260000000003,0,2,5,0,False,50.16
2024-01-09,Hermann Düsing Tabakwaren,50035374,3202686334,Hermann Düsing Tabakwaren,175.0,Tabacos_AWB Tabakwaren,1.48,51.839,86.66,29.9875,8.8852046,0,7,101,0,False,75.24
2024-01-09,Hermann Düsing Tabakwaren,50035374,3202686336,Hermann Düsing Tabakwaren,175.0,Tabacos_AWB Tabakwaren,0.8200000000000001,36.747,20.75,9.5717,6.298435799999999,0,3,22,0,False,61.73
2024-01-09,Hermann Ross GmbH & Co. KG,50135774,3202686321,Hermann Ross GmbH & Co. KG,150.0,Nein,0.08,3.1470000000000002,10.01,5.5862,0.5393958000000001,0,0,13,0,False,46.3
2024-01-09,Hermann Ross GmbH & Co. KG,50135774,3202686333,Hermann Ross GmbH & Co. KG,150.0,Nein,0.36,11.85,17.669999999999998,8.6701,2.03109,0,3,18,0,False,50.16
2024-01-09,Lekkerland SE,50033745,3202471924,Lekkerland SE,80.0,CDC Nürnberg,3.04,84.162,42.15,19.2025,14.4253668,0,15,30,0,False,50.16
2024-01-09,Lekkerland SE,50034538,3202471925,Lekkerland SE,200.0,CDC Nürnberg,4.5,103.74000000000001,29.21,17.6589,17.781036,0,23,0,0,False,125.4
2024-01-09,Metro C&C Markt GmbH,50033821,3202686339,Metro C&C Markt GmbH,40.0,Nein,0.02,0.538,1.54,3.1068000000000002,0.09221320000000001,0,0,2,0,False,27.0
